2025-10-01 10:24:47,688 | INFO | WhisperSTT | WhisperSTT client initialized. Calling localhost ASR service.
2025-10-01 10:24:47,690 | DEBUG | TTSService | Playback thread started
2025-10-01 10:24:47,690 | INFO | ConversationManager | Conversation manager started. Press ENTER to record, 'q' to quit.
2025-10-01 10:24:54,948 | INFO | ConversationManager | User: alo ạ
2025-10-01 10:24:54,948 | DEBUG | RAGClient | Sending to RAG webhook (attempt 1): http://127.0.0.1:7000/chat
2025-10-01 10:24:54,957 | DEBUG | urllib3.connectionpool | Starting new HTTP connection (1): 127.0.0.1:7000
2025-10-01 10:24:55,684 | DEBUG | urllib3.connectionpool | http://127.0.0.1:7000 "POST /chat HTTP/1.1" 200 200
2025-10-01 10:24:55,686 | INFO | RAGClient | RAG reply (len=42)
2025-10-01 10:24:55,691 | INFO | ConversationManager | Bot: Ơi ông đây, cháu gọi ông có chuyện gì thế.
2025-10-01 10:24:55,692 | DEBUG | TTSService | Starting TTS download for text length=42
2025-10-01 10:24:55,693 | DEBUG | asyncio | Using proactor: IocpProactor
2025-10-01 10:24:57,202 | DEBUG | pydub.converter | subprocess.call(['ffmpeg', '-y', '-f', 'mp3', '-read_ahead_limit', '-1', '-i', 'cache:pipe:0', '-acodec', 'pcm_s16le', '-vn', '-f', 'wav', '-'])
2025-10-01 10:25:11,110 | INFO | ConversationManager | User: cháu chào ông
2025-10-01 10:25:11,110 | DEBUG | RAGClient | Sending to RAG webhook (attempt 1): http://127.0.0.1:7000/chat
2025-10-01 10:25:11,112 | DEBUG | urllib3.connectionpool | Starting new HTTP connection (1): 127.0.0.1:7000
2025-10-01 10:25:11,841 | DEBUG | urllib3.connectionpool | http://127.0.0.1:7000 "POST /chat HTTP/1.1" 200 238
2025-10-01 10:25:11,842 | INFO | RAGClient | RAG reply (len=60)
2025-10-01 10:25:11,843 | INFO | ConversationManager | Bot: Chào cháu, ông là Tiến sĩ Kiến Thức đây. Cháu tên là gì nhỉ?
2025-10-01 10:25:11,845 | DEBUG | TTSService | Starting TTS download for text length=60
2025-10-01 10:25:11,846 | DEBUG | asyncio | Using proactor: IocpProactor
2025-10-01 10:25:14,679 | DEBUG | pydub.converter | subprocess.call(['ffmpeg', '-y', '-f', 'mp3', '-read_ahead_limit', '-1', '-i', 'cache:pipe:0', '-acodec', 'pcm_s16le', '-vn', '-f', 'wav', '-'])
2025-10-01 10:25:46,869 | INFO | ConversationManager | User: ông là ai vậy ạ
2025-10-01 10:25:46,870 | DEBUG | RAGClient | Sending to RAG webhook (attempt 1): http://127.0.0.1:7000/chat
2025-10-01 10:25:46,873 | DEBUG | urllib3.connectionpool | Starting new HTTP connection (1): 127.0.0.1:7000
2025-10-01 10:25:48,157 | DEBUG | urllib3.connectionpool | http://127.0.0.1:7000 "POST /chat HTTP/1.1" 200 1529
2025-10-01 10:25:48,159 | INFO | RAGClient | RAG reply (len=657)
2025-10-01 10:25:48,160 | INFO | ConversationManager | Bot: Ông chính là Ông Tiến sĩ Giấy đây. Từ ngày xưa, người Việt luôn coi trọng việc học hành. Vì thế, trong mâm cỗ Trung thu, bên cạnh bánh nướng, bánh dẻo, còn có ông – Ông Tiến sĩ Giấy – ngồi trên kiệu, áo mũ chỉnh tề, tượng trưng cho ước mơ học giỏi, đỗ đạt, hiển vinh. Sau khi phá cỗ, các em nhỏ thường rước ông đi quanh làng, rồi đặt ông lên bàn học hay đem đốt để gửi gắm ước nguyện học hành tiến tới. Nhưng này… ngày nay ông đã được “nâng cấp” rồi đấy! Không chỉ ngồi yên trên kiệu, bây giờ ông còn có thể nói chuyện, kể chuyện và đố vui cùng các con. Vừa giữ nét đẹp dân gian, vừa sống động và gần gũi hơn bao giờ hết! Các con thấy ông có ngầu không nào?
2025-10-01 10:25:48,161 | DEBUG | TTSService | Starting TTS download for text length=657
2025-10-01 10:25:48,161 | DEBUG | asyncio | Using proactor: IocpProactor
2025-10-01 10:25:50,667 | DEBUG | pydub.converter | subprocess.call(['ffmpeg', '-y', '-f', 'mp3', '-read_ahead_limit', '-1', '-i', 'cache:pipe:0', '-acodec', 'pcm_s16le', '-vn', '-f', 'wav', '-'])
2025-10-01 10:25:50,935 | DEBUG | pydub.converter | subprocess.call(['ffmpeg', '-y', '-f', 'mp3', '-read_ahead_limit', '-1', '-i', 'cache:pipe:0', '-acodec', 'pcm_s16le', '-vn', '-f', 'wav', '-'])
2025-10-01 10:25:51,042 | DEBUG | asyncio | Using proactor: IocpProactor
2025-10-01 10:25:53,615 | DEBUG | pydub.converter | subprocess.call(['ffmpeg', '-y', '-f', 'mp3', '-read_ahead_limit', '-1', '-i', 'cache:pipe:0', '-acodec', 'pcm_s16le', '-vn', '-f', 'wav', '-'])
2025-10-01 10:25:53,812 | DEBUG | pydub.converter | subprocess.call(['ffmpeg', '-y', '-f', 'mp3', '-read_ahead_limit', '-1', '-i', 'cache:pipe:0', '-acodec', 'pcm_s16le', '-vn', '-f', 'wav', '-'])
2025-10-01 10:25:54,098 | DEBUG | pydub.converter | subprocess.call(['ffmpeg', '-y', '-f', 'mp3', '-read_ahead_limit', '-1', '-i', 'cache:pipe:0', '-acodec', 'pcm_s16le', '-vn', '-f', 'wav', '-'])
2025-10-01 10:25:54,223 | DEBUG | asyncio | Using proactor: IocpProactor
2025-10-01 10:25:56,725 | DEBUG | pydub.converter | subprocess.call(['ffmpeg', '-y', '-f', 'mp3', '-read_ahead_limit', '-1', '-i', 'cache:pipe:0', '-acodec', 'pcm_s16le', '-vn', '-f', 'wav', '-'])
